,companyshortname,epsactual,epsestimate,epssurprisepct,gmtOffsetMilliSeconds,quoteType,startdatetime,startdatetimetype,ticker
17824,Orrstown Financial Services Inc,0.41,0.39,5.13,0,EQUITY,2019-04-19T00:00:00.000Z,AMC,ORRF
17825,People's United Financial Inc,0.33,0.33,0.0,0,EQUITY,2019-04-18T20:01:06.000Z,TAS,PBCT
17826,HMN Financial Inc,,,,0,EQUITY,2019-04-18T14:59:00.000Z,TNS,HMNF
17827,SB Financial Group Inc,,,,0,EQUITY,2019-04-18T16:30:00.000Z,BMO,SBFGP
17828,FVCBankcorp Inc,0.27,0.28,-3.57,0,EQUITY,2019-04-18T14:59:00.000Z,TNS,FVCB
17829,Omega Flex Inc,,,,0,EQUITY,2019-04-18T20:10:16.000Z,TAS,OFLX
17830,SB Financial Group Inc,0.28,0.31,-9.68,0,EQUITY,2019-04-18T16:30:00.000Z,BMO,SBFG
17831,People's United Financial Inc,,,,0,EQUITY,2019-04-18T20:01:06.000Z,TAS,PBCTP
17832,Synchrony Financial,1.0,0.93,7.53,0,EQUITY,2019-04-18T10:30:15.000Z,TAS,SYF
17833,GSRX Industries Inc,,,,0,EQUITY,2019-04-18T14:59:00.000Z,TNS,GSRX
